@relation 'customer_decision_test_predicted-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6'

@attribute Age numeric
@attribute Income numeric
@attribute Gender {Male,Female}
@attribute City {Dhaka,Chittagong,Sylhet}
@attribute 'predicted Decision' {Buy,NotBuy,Consider}

@data
33,28000,Female,Dhaka,Buy
47,42000,Male,Chittagong,Consider
29,33000,Female,Sylhet,Buy
55,38000,Male,Dhaka,Consider
42,46000,Female,Chittagong,Buy
31,21000,Female,Sylhet,Buy
40,35000,Female,Sylhet,Buy
45,28000,Male,Chittagong,NotBuy
60,32000,Female,Sylhet,Consider
53,37000,Female,Dhaka,Consider
52,52000,Female,Chittagong,Buy
30,28000,Male,Sylhet,NotBuy
