@relation 'MarketBasket-weka.filters.unsupervised.attribute.Remove-V-R3,4,6,9,10-weka.filters.unsupervised.attribute.NominalToBinary-R1,2,3'

@attribute Eggs=YES numeric
@attribute Butter=YES numeric
@attribute Chicken=YES numeric
@attribute PurchaseAmount numeric
@attribute CustomerAge numeric

@data
1,0,0,500,25
1,1,1,1200,33
0,1,0,800,28
1,0,0,950,31
1,1,1,1500,42
0,1,0,600,23
1,0,0,700,35
0,1,1,1300,40
1,1,0,900,27
1,1,0,750,30
0,0,1,1400,45
1,1,0,650,22
1,0,0,820,29
0,0,1,1550,38
1,1,1,1200,34
1,1,0,980,26
0,1,1,1450,36
1,0,0,500,21
1,1,1,1350,41
0,0,0,720,24
1,1,1,1100,39
1,0,0,870,32
0,1,1,1600,47
1,1,0,600,22
1,0,0,820,29
0,1,1,1300,40
1,1,0,900,27
1,1,0,750,30
0,0,1,1400,45
1,1,0,650,22
1,0,0,820,29
0,0,1,1550,38
1,1,1,1200,34
1,1,0,980,26
0,1,1,1450,36
1,0,0,500,21
1,1,1,1350,41
0,0,0,720,24
1,1,1,1100,39
1,0,0,870,32
0,1,1,1600,47
1,1,0,600,22
1,0,0,820,29
0,1,1,1300,40
1,1,0,900,27
1,1,0,750,30
0,0,1,1400,45
1,1,0,650,22
1,0,0,820,29
0,0,1,1550,38
