@relation MarketBasket

@attribute Milk {NO,YES}
@attribute Bread {NO,YES}
@attribute Eggs {NO,YES}
@attribute Butter {NO,YES}
@attribute Rice {NO,YES}
@attribute Chicken {NO,YES}
@attribute Juice {NO,YES}
@attribute Fruits {NO,YES}
@attribute PurchaseAmount numeric
@attribute CustomerAge numeric

@data
YES,NO,YES,NO,YES,NO,YES,NO,500,25
NO,YES,YES,YES,NO,YES,NO,YES,1200,33
YES,YES,NO,YES,YES,NO,NO,NO,800,28
YES,YES,YES,NO,NO,NO,YES,YES,950,31
NO,YES,YES,YES,YES,YES,NO,NO,1500,42
YES,NO,NO,YES,NO,NO,YES,YES,600,23
NO,YES,YES,NO,YES,NO,YES,YES,700,35
YES,YES,NO,YES,NO,YES,NO,YES,1300,40
NO,NO,YES,YES,YES,NO,NO,YES,900,27
YES,YES,YES,YES,NO,NO,NO,NO,750,30
NO,YES,NO,NO,YES,YES,YES,NO,1400,45
YES,NO,YES,YES,NO,NO,YES,NO,650,22
NO,YES,YES,NO,YES,NO,NO,YES,820,29
YES,YES,NO,NO,NO,YES,YES,YES,1550,38
NO,NO,YES,YES,YES,YES,NO,NO,1200,34
YES,YES,YES,YES,NO,NO,NO,YES,980,26
NO,YES,NO,YES,YES,YES,YES,NO,1450,36
YES,NO,YES,NO,YES,NO,NO,YES,500,21
NO,YES,YES,YES,NO,YES,NO,YES,1350,41
YES,YES,NO,NO,YES,NO,YES,NO,720,24
NO,NO,YES,YES,NO,YES,NO,YES,1100,39
YES,YES,YES,NO,YES,NO,YES,YES,870,32
NO,YES,NO,YES,YES,YES,NO,NO,1600,47
YES,NO,YES,YES,NO,NO,YES,NO,600,22
NO,YES,YES,NO,YES,NO,YES,YES,820,29
YES,YES,NO,YES,NO,YES,NO,YES,1300,40
NO,NO,YES,YES,YES,NO,NO,YES,900,27
YES,YES,YES,YES,NO,NO,NO,NO,750,30
NO,YES,NO,NO,YES,YES,YES,NO,1400,45
YES,NO,YES,YES,NO,NO,YES,NO,650,22
NO,YES,YES,NO,YES,NO,NO,YES,820,29
YES,YES,NO,NO,NO,YES,YES,YES,1550,38
NO,NO,YES,YES,YES,YES,NO,NO,1200,34
YES,YES,YES,YES,NO,NO,NO,YES,980,26
NO,YES,NO,YES,YES,YES,YES,NO,1450,36
YES,NO,YES,NO,YES,NO,NO,YES,500,21
NO,YES,YES,YES,NO,YES,NO,YES,1350,41
YES,YES,NO,NO,YES,NO,YES,NO,720,24
NO,NO,YES,YES,NO,YES,NO,YES,1100,39
YES,YES,YES,NO,YES,NO,YES,YES,870,32
NO,YES,NO,YES,YES,YES,NO,NO,1600,47
YES,NO,YES,YES,NO,NO,YES,NO,600,22
NO,YES,YES,NO,YES,NO,YES,YES,820,29
YES,YES,NO,YES,NO,YES,NO,YES,1300,40
NO,NO,YES,YES,YES,NO,NO,YES,900,27
YES,YES,YES,YES,NO,NO,NO,NO,750,30
NO,YES,NO,NO,YES,YES,YES,NO,1400,45
YES,NO,YES,YES,NO,NO,YES,NO,650,22
NO,YES,YES,NO,YES,NO,NO,YES,820,29
YES,YES,NO,NO,NO,YES,YES,YES,1550,38
